edge,cause,effect,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_kci_knn_indicator,FCI_kci_simple,FCI_kci_simple_indicator,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_kci_knn_indicator,PC_kci_simple,PC_kci_simple_indicator,PC_mv_fisherz_raw_v2,avg_num_paths,agreement_score
Heart Rate (max) --> Vasopressors,Heart Rate (max),Vasopressors,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.7,3
FiO2 Missing --> AKI Post-24h,FiO2 Missing,AKI Post-24h,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.3,3
Gender --> Lactate Missing,Gender,Lactate Missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4.3,3
Gender --> Mech. Vent Onset (24h),Gender,Mech. Vent Onset (24h),0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.7,3
Blood Pressure (min) --> Lactate Missing,Blood Pressure (min),Lactate Missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3.0,3
Heart Rate (max) --> FiO2 (max),Heart Rate (max),FiO2 (max),0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.7,3
FiO2 Missing --> Vasopressors,FiO2 Missing,Vasopressors,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.7,3
FiO2 Missing --> SpO2 (min),FiO2 Missing,SpO2 (min),0,0,0,0,0,0,0,1,1,0,0,0,1,0,13.7,3
Blood Pressure (min) --> Mech. Vent Post-24h,Blood Pressure (min),Mech. Vent Post-24h,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.3,3
FiO2 Missing --> Lactate (max),FiO2 Missing,Lactate (max),1,0,0,0,0,0,0,1,0,0,0,0,1,0,6.3,3
FiO2 Missing --> INR Missing,FiO2 Missing,INR Missing,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,3
FiO2 Missing --> Heart Rate (max),FiO2 Missing,Heart Rate (max),0,0,0,0,0,0,0,1,1,0,0,0,1,0,25.3,3
FiO2 (max) --> AKI Post-24h,FiO2 (max),AKI Post-24h,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3.3,3
FiO2 (max) --> Antibiotics,FiO2 (max),Antibiotics,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2.0,3
Bilirubin Missing --> Vasopressors,Bilirubin Missing,Vasopressors,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3.3,3
AKI Onset (24h) --> Lactate (max),AKI Onset (24h),Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.5,2
AKI Onset (24h) --> INR Missing,AKI Onset (24h),INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2
Blood Pressure (min) --> INR Missing,Blood Pressure (min),INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2
Blood Pressure (min) --> FiO2 Missing,Blood Pressure (min),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
Platelet Missing --> INR (max),Platelet Missing,INR (max),0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
Platelet Missing --> Hospital Mortality,Platelet Missing,Hospital Mortality,0,0,0,0,0,0,0,1,1,0,0,0,0,0,107.0,2
Platelet Missing --> Heart Rate (max),Platelet Missing,Heart Rate (max),0,0,0,0,0,0,0,1,1,0,0,0,0,0,50.0,2
Platelet Missing --> FiO2 (max),Platelet Missing,FiO2 (max),0,0,0,0,0,0,0,1,1,0,0,0,0,0,12.5,2
Platelet Missing --> Blood Pressure (min),Platelet Missing,Blood Pressure (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
Platelet Missing --> Bilirubin Missing,Platelet Missing,Bilirubin Missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,2
Platelet Missing --> BP Missing,Platelet Missing,BP Missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,2
Platelet Missing --> AKI Post-24h,Platelet Missing,AKI Post-24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,2
Antibiotics --> INR (max),Antibiotics,INR (max),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,2
Platelet (max) --> Lactate Missing,Platelet (max),Lactate Missing,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,2
Platelet (max) --> Lactate (max),Platelet (max),Lactate (max),0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.5,2
Platelet (max) --> INR Missing,Platelet (max),INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0,2
Platelet (max) --> INR (max),Platelet (max),INR (max),0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,2
Gender --> FiO2 Missing,Gender,FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
BP Missing --> AKI Post-24h,BP Missing,AKI Post-24h,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.0,2
Platelet (max) --> Blood Pressure (min),Platelet (max),Blood Pressure (min),0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.5,2
FiO2 (max) --> Blood Pressure (min),FiO2 (max),Blood Pressure (min),0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.0,2
Platelet (max) --> Bilirubin Missing,Platelet (max),Bilirubin Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,2
Platelet (max) --> Antibiotics,Platelet (max),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5,2
Blood Pressure (min) --> AKI Post-24h,Blood Pressure (min),AKI Post-24h,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.5,2
BP Missing --> FiO2 Missing,BP Missing,FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0,2
Vasopressors --> Mech. Vent Post-24h,Vasopressors,Mech. Vent Post-24h,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2
Gender --> INR (max),Gender,INR (max),0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2
Platelet Missing --> Mech. Vent Post-24h,Platelet Missing,Mech. Vent Post-24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.0,2
Platelet Missing --> SpO2 (min),Platelet Missing,SpO2 (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,29.0,2
Platelet Missing --> Vasopressors,Platelet Missing,Vasopressors,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6.5,2
AKI Onset (24h) --> FiO2 Missing,AKI Onset (24h),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
Temperature (max) --> FiO2 Missing,Temperature (max),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,2
Temperature (max) --> Temp Missing,Temperature (max),Temp Missing,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,2
Temp Missing --> SpO2 (min),Temp Missing,SpO2 (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,2
Vasopressors --> AKI Post-24h,Vasopressors,AKI Post-24h,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.5,2
Vasopressors --> Antibiotics,Vasopressors,Antibiotics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2
Temp Missing --> INR Missing,Temp Missing,INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,2
Vasopressors --> BP Missing,Vasopressors,BP Missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,2
Vasopressors --> Blood Pressure (min),Vasopressors,Blood Pressure (min),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2
Age --> Antibiotics,Age,Antibiotics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.0,2
FiO2 Missing --> Lactate Missing,FiO2 Missing,Lactate Missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.0,2
SpO2 (min) --> FiO2 (max),SpO2 (min),FiO2 (max),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,2
Race --> Temp Missing,Race,Temp Missing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2
Antibiotics --> Blood Pressure (min),Antibiotics,Blood Pressure (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,2
Vasopressors --> FiO2 Missing,Vasopressors,FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,2
FiO2 Missing --> Temp Missing,FiO2 Missing,Temp Missing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2
FiO2 (max) --> BP Missing,FiO2 (max),BP Missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.5,2
Race --> Lactate (max),Race,Lactate (max),1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0,2
Race --> INR Missing,Race,INR Missing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2
BP Missing --> INR Missing,BP Missing,INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
Vasopressors --> INR Missing,Vasopressors,INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,2
Vasopressors --> Lactate (max),Vasopressors,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,2
Antibiotics --> BP Missing,Antibiotics,BP Missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,2
Race --> Bilirubin (max),Race,Bilirubin (max),0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5,2
Blood Pressure (min) --> Lactate (max),Blood Pressure (min),Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2
Race --> INR (max),Race,INR (max),0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.5,2
Platelet (max) --> Platelet Missing,Platelet (max),Platelet Missing,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,2
BP Missing --> Lactate (max),BP Missing,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2
Lactate (max) --> FiO2 Missing,Lactate (max),FiO2 Missing,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,2
Bilirubin (max) --> SpO2 (min),Bilirubin (max),SpO2 (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2
Bilirubin (max) --> Mech. Vent Post-24h,Bilirubin (max),Mech. Vent Post-24h,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2
Lactate (max) --> Temp Missing,Lactate (max),Temp Missing,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,2
Bilirubin (max) --> INR (max),Bilirubin (max),INR (max),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,2
Lactate (max) --> INR Missing,Lactate (max),INR Missing,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.5,2
INR Missing --> BP Missing,INR Missing,BP Missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,2
Bilirubin (max) --> INR Missing,Bilirubin (max),INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,2
Lactate (max) --> Blood Pressure (min),Lactate (max),Blood Pressure (min),0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.0,2
Lactate Missing --> Mech. Vent Post-24h,Lactate Missing,Mech. Vent Post-24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
INR Missing --> Heart Rate (max),INR Missing,Heart Rate (max),0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.5,2
INR Missing --> Hospital Mortality,INR Missing,Hospital Mortality,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23.0,2
Lactate (max) --> Antibiotics,Lactate (max),Antibiotics,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,2
Gender --> Lactate (max),Gender,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.5,2
Bilirubin Missing --> INR (max),Bilirubin Missing,INR (max),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,2
INR Missing --> SpO2 (min),INR Missing,SpO2 (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,6.5,2
INR Missing --> Mech. Vent Post-24h,INR Missing,Mech. Vent Post-24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2
Heart Rate (max) --> AKI Post-24h,Heart Rate (max),AKI Post-24h,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.0,2
Lactate Missing --> BP Missing,Lactate Missing,BP Missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,2
FiO2 (max) --> Mech. Vent Onset (24h),FiO2 (max),Mech. Vent Onset (24h),0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,2
Bilirubin Missing --> SpO2 (min),Bilirubin Missing,SpO2 (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,20.5,2
Bilirubin (max) --> Antibiotics,Bilirubin (max),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5,2
Bilirubin Missing --> Blood Pressure (min),Bilirubin Missing,Blood Pressure (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
Bilirubin (max) --> Blood Pressure (min),Bilirubin (max),Blood Pressure (min),0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.5,2
Heart Rate (max) --> Mech. Vent Post-24h,Heart Rate (max),Mech. Vent Post-24h,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,2
INR (max) --> BP Missing,INR (max),BP Missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,2
Bilirubin (max) --> FiO2 (max),Bilirubin (max),FiO2 (max),0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2
INR (max) --> FiO2 Missing,INR (max),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0,2
INR (max) --> Bilirubin Missing,INR (max),Bilirubin Missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,2
Lactate Missing --> SpO2 (min),Lactate Missing,SpO2 (min),0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.5,2
Mech. Vent Onset (24h) --> INR (max),Mech. Vent Onset (24h),INR (max),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,2
Bilirubin Missing --> FiO2 Missing,Bilirubin Missing,FiO2 Missing,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,2
Bilirubin Missing --> BP Missing,Bilirubin Missing,BP Missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.5,2
Temp Missing --> FiO2 Missing,Temp Missing,FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
Vasopressors --> Mech. Vent Onset (24h),Vasopressors,Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
INR (max) --> Antibiotics,INR (max),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,1
AKI Onset (24h) --> Platelet (max),AKI Onset (24h),Platelet (max),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1
AKI Onset (24h) --> Temp Missing,AKI Onset (24h),Temp Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
Blood Pressure (min) --> Temp Missing,Blood Pressure (min),Temp Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
AKI Onset (24h) --> Mech. Vent Onset (24h),AKI Onset (24h),Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
INR Missing --> Lactate (max),INR Missing,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1
INR Missing --> Lactate Missing,INR Missing,Lactate Missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1
Heart Rate (max) --> INR Missing,Heart Rate (max),INR Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
FiO2 Missing --> Blood Pressure (min),FiO2 Missing,Blood Pressure (min),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Bilirubin Missing --> Antibiotics,Bilirubin Missing,Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1
FiO2 Missing --> Antibiotics,FiO2 Missing,Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
FiO2 (max) --> Temp Missing,FiO2 (max),Temp Missing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1
Temperature (max) --> INR Missing,Temperature (max),INR Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Temperature (max) --> Vasopressors,Temperature (max),Vasopressors,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Heart Rate (max) --> Lactate Missing,Heart Rate (max),Lactate Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Temperature (max) --> SpO2 (min),Temperature (max),SpO2 (min),0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Heart Rate (max) --> Lactate (max),Heart Rate (max),Lactate (max),0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Temperature (max) --> Mech. Vent Onset (24h),Temperature (max),Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Temperature (max) --> Lactate Missing,Temperature (max),Lactate Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1
Temperature (max) --> Lactate (max),Temperature (max),Lactate (max),0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1
INR (max) --> Mech. Vent Onset (24h),INR (max),Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Bilirubin (max) --> Lactate Missing,Bilirubin (max),Lactate Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
SpO2 (min) --> Lactate Missing,SpO2 (min),Lactate Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Temperature (max) --> FiO2 (max),Temperature (max),FiO2 (max),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Bilirubin Missing --> Bilirubin (max),Bilirubin Missing,Bilirubin (max),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
Temperature (max) --> Blood Pressure (min),Temperature (max),Blood Pressure (min),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Temperature (max) --> BP Missing,Temperature (max),BP Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Temperature (max) --> Antibiotics,Temperature (max),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Heart Rate (max) --> Mech. Vent Onset (24h),Heart Rate (max),Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
SpO2 (min) --> Mech. Vent Onset (24h),SpO2 (min),Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Blood Pressure (min) --> Mech. Vent Onset (24h),Blood Pressure (min),Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
SpO2 (min) --> Lactate (max),SpO2 (min),Lactate (max),0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Heart Rate (max) --> Antibiotics,Heart Rate (max),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Platelet Missing --> FiO2 Missing,Platelet Missing,FiO2 Missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
Gender --> Temp Missing,Gender,Temp Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
Lactate Missing --> INR (max),Lactate Missing,INR (max),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1
Platelet Missing --> Bilirubin (max),Platelet Missing,Bilirubin (max),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
Lactate Missing --> INR Missing,Lactate Missing,INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
Lactate Missing --> Lactate (max),Lactate Missing,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
Antibiotics --> INR Missing,Antibiotics,INR Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
AKI Onset (24h) --> Antibiotics,AKI Onset (24h),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Antibiotics --> Lactate (max),Antibiotics,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,1
Bilirubin (max) --> FiO2 Missing,Bilirubin (max),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
Bilirubin Missing --> Lactate (max),Bilirubin Missing,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.0,1
Blood Pressure (min) --> Antibiotics,Blood Pressure (min),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Platelet (max) --> FiO2 Missing,Platelet (max),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
Mech. Vent Onset (24h) --> Bilirubin (max),Mech. Vent Onset (24h),Bilirubin (max),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
BP Missing --> Antibiotics,BP Missing,Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Platelet (max) --> BP Missing,Platelet (max),BP Missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
BP Missing --> Blood Pressure (min),BP Missing,Blood Pressure (min),0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
BP Missing --> Temp Missing,BP Missing,Temp Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
BP Missing --> Mech. Vent Onset (24h),BP Missing,Mech. Vent Onset (24h),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Lactate Missing --> FiO2 Missing,Lactate Missing,FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
Lactate Missing --> Blood Pressure (min),Lactate Missing,Blood Pressure (min),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
SpO2 (min) --> INR Missing,SpO2 (min),INR Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Platelet Missing --> Lactate (max),Platelet Missing,Lactate (max),0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.0,1
SpO2 (min) --> FiO2 Missing,SpO2 (min),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
INR Missing --> Vasopressors,INR Missing,Vasopressors,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1
SpO2 (min) --> Blood Pressure (min),SpO2 (min),Blood Pressure (min),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
SpO2 (min) --> BP Missing,SpO2 (min),BP Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
SpO2 (min) --> Antibiotics,SpO2 (min),Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Lactate (max) --> BP Missing,Lactate (max),BP Missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1
Lactate (max) --> Bilirubin (max),Lactate (max),Bilirubin (max),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1
Lactate (max) --> Bilirubin Missing,Lactate (max),Bilirubin Missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1
Age --> Platelet (max),Age,Platelet (max),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
Race --> Lactate Missing,Race,Lactate Missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0,1
Heart Rate (max) --> FiO2 Missing,Heart Rate (max),FiO2 Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
Gender --> Antibiotics,Gender,Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
Heart Rate (max) --> Blood Pressure (min),Heart Rate (max),Blood Pressure (min),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Antibiotics --> Bilirubin (max),Antibiotics,Bilirubin (max),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
Lactate (max) --> Mech. Vent Post-24h,Lactate (max),Mech. Vent Post-24h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,1
Antibiotics --> FiO2 Missing,Antibiotics,FiO2 Missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
Heart Rate (max) --> Bilirubin (max),Heart Rate (max),Bilirubin (max),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
Heart Rate (max) --> BP Missing,Heart Rate (max),BP Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
Lactate Missing --> AKI Post-24h,Lactate Missing,AKI Post-24h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
Heart Rate (max) --> Platelet (max),Heart Rate (max),Platelet (max),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1
